repoName,repoCreatedAt,totalCommits,totalContribuors,commits
mastery-rate-confirmation,2020-07-28T13:03:22Z,0,0,[]
mastery-ingress-api,2020-07-14T19:35:40Z,4,2,"[{""author"":""molson303"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":12,""deletions"":17,""commitCount"":2},{""committedDate"":""2022-09-06"",""additions"":1014,""deletions"":71,""commitCount"":1}]},{""author"":""MasteryChristian"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":1302,""deletions"":5,""commitCount"":1}]}]"
load-and-performance-tests,2021-06-01T16:03:23Z,2,1,"[{""author"":""mfreeman-mastery"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":6,""deletions"":4,""commitCount"":1},{""committedDate"":""2022-09-03"",""additions"":191,""deletions"":0,""commitCount"":1}]}]"
lachesis-kafka-client,2020-06-03T12:15:58Z,0,0,[]
data-terraform,2020-07-21T15:18:27Z,12,3,"[{""author"":""StevenGrzybowski"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":2,""deletions"":2,""commitCount"":2}]},{""author"":""chrisluedtke"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":1,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-08"",""additions"":1909,""deletions"":2357,""commitCount"":8}]},{""author"":""reubenkaburu"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":12,""deletions"":8,""commitCount"":1}]}]"
alchemy-tendering,2021-05-13T14:52:41Z,1,1,"[{""author"":""mastery-aditya-patel"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":28,""deletions"":28,""commitCount"":1}]}]"
mastery-edi-processor,2020-07-03T14:18:43Z,14,10,"[{""author"":""mastery-shankar-solunke"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":1,""deletions"":0,""commitCount"":1}]},{""author"":""mastery-brij-kishore"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":24,""deletions"":9,""commitCount"":1},{""committedDate"":""2022-09-05"",""additions"":70,""deletions"":74,""commitCount"":1}]},{""author"":""devinaweMastery"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":458,""deletions"":381,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":53,""deletions"":116,""commitCount"":1}]},{""author"":""mastery-shavez-khan"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":9,""deletions"":3,""commitCount"":1}]},{""author"":""mastery-rajarshi-banerjee"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":52,""deletions"":179,""commitCount"":1}]},{""author"":""mastery-krunal-patel"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":19,""deletions"":2,""commitCount"":1},{""committedDate"":""2022-09-05"",""additions"":104,""deletions"":39,""commitCount"":1}]},{""author"":""mastery-kartik-patil"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":38,""deletions"":17,""commitCount"":1}]},{""author"":""mdabbaghMLS"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":21,""deletions"":9,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":6,""deletions"":9,""commitCount"":1}]},{""author"":""Ravtiwari"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":7,""deletions"":27,""commitCount"":1}]},{""author"":""mastery-akash-mene"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":1,""deletions"":1,""commitCount"":1}]}]"
mastery-azure-sentinel,2021-06-18T16:07:16Z,0,0,[]
data-warehouse,2019-11-05T22:36:45Z,4,1,"[{""author"":""chrisluedtke"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":234,""deletions"":296,""commitCount"":4}]}]"
minion-portal,2020-09-09T15:03:01Z,11,9,"[{""author"":""mastery-aakash-kannojiya"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":4,""deletions"":4,""commitCount"":1}]},{""author"":""mastery-sanket-bibe"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":899,""deletions"":76,""commitCount"":1}]},{""author"":""davezieglermls"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":1,""deletions"":1,""commitCount"":1}]},{""author"":""mastery-ruturaj-patil"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":20,""deletions"":12,""commitCount"":1}]},{""author"":""mastery-pankaj-meena"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":2071,""deletions"":157,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":270,""deletions"":162,""commitCount"":1}]},{""author"":""mastery-meghna-pandey"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":190,""deletions"":55,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":8,""deletions"":6,""commitCount"":1}]},{""author"":""mastery-prathamesh-kshirsagar"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":17,""deletions"":4,""commitCount"":1}]},{""author"":""mastery-snehal-patil"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":290,""deletions"":62,""commitCount"":1}]},{""author"":""JKoester7"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":1,""deletions"":2,""commitCount"":1}]}]"
